Prompt #,Gender,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après son travail.,female cue(s): ['assistante au nettoyage'],12345,0.8,mistral:7b
2,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après le travail.,female cue(s): ['assistante au nettoyage'],12346,0.8,mistral:7b
3,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après le travail.,female cue(s): ['assistante au nettoyage'],12347,0.8,mistral:7b
4,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après son travail.,female cue(s): ['assistante au nettoyage'],12348,0.8,mistral:7b
5,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée chez elle du travail.,female cue(s): ['assistante au nettoyage'],12349,0.8,mistral:7b
6,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée chez elle de son travail.,female cue(s): ['assistante au nettoyage'],12350,0.8,mistral:7b
7,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après le travail.,female cue(s): ['assistante au nettoyage'],12351,0.8,mistral:7b
8,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée chez elle après le travail. (Literally: The cleaning assistant has returned home after work),female cue(s): ['assistante au nettoyage'],12352,0.8,mistral:7b
9,N,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.","L'assistante au nettoyage est rentrée chez elle après le travail. (The female cleaning assistant has gone home from work.)

L'assistant au nettoyage est retourné chez lui après le travail. (The male cleaning assistant has returned home after work.)

If you want to keep the sentence gender-neutral, you can say:","both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12353,0.8,mistral:7b
10,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après son travail.,female cue(s): ['assistante au nettoyage'],12354,0.8,mistral:7b
11,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.","L'assistante au nettoyage est retournée à la maison de son travail.

This translates to ""The cleaning assistant returned home from work."" in French.",female cue(s): ['assistante au nettoyage'],12355,0.8,mistral:7b
12,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.","L'assistante au nettoyage est retournée à la maison de son travail.

Note that ""Cleaning assistant"" translates to ""Assistante au nettoyage"" in this context, as it refers to a person who assists with cleaning tasks rather than someone in management or administration. If the role is more administrative, you could translate it to """,female cue(s): ['assistante au nettoyage'],12356,0.8,mistral:7b
13,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après le travail.,female cue(s): ['assistante au nettoyage'],12357,0.8,mistral:7b
14,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée chez elle après le travail.,female cue(s): ['assistante au nettoyage'],12358,0.8,mistral:7b
15,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison après le travail.,female cue(s): ['assistante au nettoyage'],12359,0.8,mistral:7b
16,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison de son travail.,female cue(s): ['assistante au nettoyage'],12360,0.8,mistral:7b
17,F,French,Cleaning assistant,standard,The Cleaning assistant went home from work.,"Translate the following English sentence into French.
Sentence: The Cleaning assistant went home from work.",L'assistante au nettoyage est retournée à la maison de son travail.,female cue(s): ['assistante au nettoyage'],12361,0.8,mistral:7b
